City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,270.51,68,76,4.47,SJ,1746421489
1,longyearbyen,78.2186,15.6401,265.06,79,20,5.14,SJ,1746421471
2,enewetak,11.3474,162.3373,300.89,71,18,8.2,MH,1746421492
3,klyuchi,52.2667,79.1667,289.02,38,14,8.44,RU,1746421493
4,kottapalli,18.4833,79.1,311.06,19,0,2.69,IN,1746421494
5,port-aux-francais,-49.35,70.2167,276.71,75,100,10.78,TF,1746421495
6,albany,42.6001,-73.9662,285.69,96,100,1.61,US,1746421496
7,oroville east,39.5113,-121.4752,294.57,21,0,5.14,US,1746421497
8,brisas de zicatela,15.8369,-97.0419,300.69,72,100,3.58,MX,1746421498
9,rundu,-17.9333,19.7667,287.65,70,2,2.52,NA,1746421223
10,west island,-12.1568,96.8225,301.14,83,75,5.66,CC,1746421501
11,dudinka,69.4058,86.1778,275.2,100,100,5.1,RU,1746421502
12,ust-nera,64.5667,143.2,274.57,86,100,3.17,RU,1746421503
13,nchelenge,-9.3451,28.734,292.17,91,100,3.62,ZM,1746421504
14,bag,22.3667,74.7667,306.17,44,35,5.44,IN,1746421505
15,ushuaia,-54.8,-68.3,277.96,65,0,3.09,AR,1746421277
16,atafu village,-8.5421,-172.5159,301.95,69,100,1.21,TK,1746421507
17,loango,-4.6719,11.8312,296.96,100,40,0.51,CG,1746421509
18,invercargill,-46.4,168.35,284.14,75,47,0.4,NZ,1746421510
19,knysna,-34.0363,23.0471,289.03,43,37,2.61,ZA,1746421511
20,nova sintra,14.8667,-24.7167,295.46,85,3,9.09,CV,1746421512
21,wingham,43.8879,-81.3114,285.04,74,100,6.64,CA,1746421513
22,college,64.8569,-147.8028,286.14,33,75,8.23,US,1746421514
23,puerto natales,-51.7236,-72.4875,274.93,90,87,1.53,CL,1746421515
24,jamestown,42.097,-79.2353,285.95,99,40,5.14,US,1746421227
25,akureyri,65.6835,-18.0878,279.11,87,100,3.09,IS,1746421517
26,wailua homesteads,22.0669,-159.378,296.59,89,20,5.66,US,1746421519
27,malpica,43.3228,-8.8105,286.06,100,94,3.21,ES,1746421520
28,colonia,50.9333,6.95,279.79,85,0,1.03,DE,1746421521
29,stanley,54.868,-1.6985,276.77,91,20,3.09,GB,1746421523
30,chonchi,-42.6128,-73.8092,281.55,91,100,2.03,CL,1746421524
31,hermanus,-34.4187,19.2345,288.3,54,35,1.49,ZA,1746421525
32,fort bragg,35.139,-79.006,291.06,92,100,0.0,US,1746421526
33,edinburgh of the seven seas,-37.0676,-12.3116,288.03,73,100,1.24,SH,1746421527
34,adamstown,-25.066,-130.1015,297.09,78,99,5.69,PN,1746421528
35,eraan,9.0629,117.7016,302.76,74,100,4.1,PH,1746421530
36,puerto ayora,-0.7393,-90.3518,295.68,97,10,2.48,EC,1746421339
37,papao,-17.75,-149.55,299.97,75,58,1.95,PF,1746421532
38,pisco,-13.7,-76.2167,291.18,82,34,2.06,PE,1746421533
39,sisimiut,66.9395,-53.6735,271.07,80,89,3.61,GL,1746421534
